Campaign,Ad group,Keyword,Criterion Type,Status
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker job bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker jobs in bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver job bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver jobs in bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker job vacancy bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker vacancy bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker required in bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver required bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver vacancy bathinda],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker job punjab],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker jobs punjab],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver job punjab],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker job near me],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker jobs near me],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver jobs near me],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[home caretaker job],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caregiver job],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,[caretaker job],Exact,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""caretaker job bathinda""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""caregiver job bathinda""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""caretaker job punjab""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""caregiver job vacancy""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""caretaker job vacancy""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""home caretaker job""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""elderly caretaker job""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-1 Caregiver Job Bathinda,"""old age care job bathinda""",Phrase,Enabled
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[patient attendant job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[patient attendant jobs in bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[patient attendant vacancy bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[patient attendant required bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[attendant job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[ward boy job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[home attendant job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[24 hour caretaker job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[12 hour duty caretaker job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[live in caretaker job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[live in caregiver job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[night shift caretaker job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[night duty patient attendant job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[day shift caretaker job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[lady caretaker job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,[male caretaker job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,"""patient attendant job bathinda""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,"""patient attendant job vacancy""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,"""24 hour caretaker job""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-2 Patient Attendant Job,"""live in caretaker job""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caregiver naukri bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caretaker naukri bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caretaker bharti bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caretaker bharti punjab],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caregiver bharti punjab],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[sevak job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[sevadarni job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[budhape ki dekhbhal job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[mariz ki dekhbhal job],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[patient dekhbhal job bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caretaker ki naukri],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,[caregiver kaam bathinda],Exact,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,"""caretaker naukri""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,"""caregiver naukri bathinda""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,"""caretaker bharti""",Phrase,Paused
SRCH | Caretaker Jobs | Bathinda +50km,AG-3 Hindi-Punjabi Caretaker,"""sevak job bathinda""",Phrase,Paused
