Asset type,Name / Text,Detail / URL,Level,Add it?
Sitelink,Open the Job Form,https://ardashomehealthcare.github.io/Ardas-Home-Health-Care-/careers.html,Campaign,YES
Sitelink,What the Duty Involves,https://ardashomehealthcare.github.io/Ardas-Home-Health-Care-/elderly-care-bathinda.html,Campaign,YES
Sitelink,Attendant Work Details,https://ardashomehealthcare.github.io/Ardas-Home-Health-Care-/patient-attendant-bathinda.html,Campaign,YES
Sitelink,Our Privacy Policy,https://ardashomehealthcare.github.io/Ardas-Home-Health-Care-/privacy-policy.html,Campaign,YES
Callout,No Registration Fee,,Campaign,YES
Callout,Duty Near Your Home,,Campaign,YES
Callout,"Day, Night & 24 Hr Shifts",,Campaign,YES
Callout,WhatsApp Duty Group,,Campaign,YES
Callout,Coordinator Calls in 24-48 Hrs,,Campaign,YES
Structured snippet,Types,Caregiver; Patient Attendant; Elderly Care; Live-In Duty,Campaign,YES
Structured snippet,Service areas,Bathinda; Rampura Phul; Maur Mandi; Talwandi Sabo; Nathana; Sangat; Bhucho Mandi; Goniana,Campaign,YES
Location,Link Google Business Profile: ARDAS Home Health Care,Needs GBP claimed + same login,Account,YES - biggest CTR win
Call,+91 98770 62683,Call reporting ON. CAUTION at Rs 20/day - call clicks eat the budget. Add only after week 2.,Campaign,OPTIONAL
Image,images/hero-elderly-care-bathinda.jpg,"1.91:1 landscape, min 1200x628. Needs approval.",Ad group AG-1,OPTIONAL
Price,NOT USED,"You are hiring, not selling - skip price assets",-,NO
Promotion,NOT USED,No discount on a job - would breach policy,-,NO
